tenure,warehouse_to_home,num_devices_registered,preferred_order_category,satisfaction_score,marital_status,num_addresses,has_complained,days_since_last_order,cashback_amount,tenure_missing_flag,warehouse_missing_flag,days_missing_flag,churn
1,16.0,3,Laptop & Accessory,3,Single,4,0,7,136.6,0,0,0,0
13,21.0,4,Fashion,3,Married,2,0,12,204.35,0,0,0,0
5,12.0,4,Laptop & Accessory,3,Married,3,0,3,208.46,0,0,0,0
0,13.0,3,Mobile Phone,3,Married,2,0,3,125.17,0,1,0,0
15,13.0,4,Fashion,3,Single,3,0,3,217.41,0,0,1,0
24,14.0,4,Fashion,4,Divorced,6,0,3,224.9,0,0,1,0
8,16.0,5,Fashion,4,Single,3,0,3,211.21,0,0,1,0
14,14.0,3,Laptop & Accessory,4,Married,6,0,4,143.93,0,0,0,0
5,15.0,5,Laptop & Accessory,1,Married,1,0,7,146.68,0,0,0,0
9,11.0,4,Laptop & Accessory,3,Single,3,1,2,167.49,0,0,0,0
1,31.0,4,Mobile Phone,2,Divorced,2,0,2,149.0,0,0,0,0
0,6.0,3,Laptop & Accessory,4,Divorced,1,1,4,163.49,0,0,0,0
7,8.0,3,Laptop & Accessory,5,Single,1,1,2,145.38,0,0,0,0
6,12.0,4,Laptop & Accessory,4,Married,3,0,4,190.24,0,0,0,0
1,10.0,4,Mobile Phone,1,Single,3,1,1,140.69,0,0,0,1
9,18.0,4,Fashion,2,Single,1,0,8,188.58,0,0,0,0
8,11.0,4,Fashion,1,Married,4,1,3,222.13,0,0,1,0
0,6.0,3,Mobile Phone,1,Married,4,0,2,122.7,1,0,0,0
11,22.0,3,Laptop & Accessory,4,Single,3,0,2,141.98,0,0,0,0
4,10.0,4,Mobile Phone,1,Married,6,0,5,145.97,0,0,0,0
25,10.0,4,Grocery,4,Single,5,0,1,262.34,0,0,0,0
2,19.0,4,Laptop & Accessory,4,Married,5,1,3,140.25,0,0,0,0
30,6.0,3,Fashion,2,Divorced,4,1,3,219.04,0,0,1,0
18,10.0,5,Fashion,3,Married,5,0,3,197.56,0,0,0,0
19,32.0,4,Laptop & Accessory,4,Single,9,0,2,179.91,0,0,0,0
0,15.0,3,Mobile Phone,1,Married,4,0,3,120.75,1,0,0,0
8,23.0,3,Laptop & Accessory,5,Married,4,1,7,189.66,0,0,0,0
0,30.0,1,Mobile Phone,5,Single,2,0,0,110.91,0,0,0,1
8,32.0,3,Fashion,1,Single,2,1,7,188.37,0,0,0,0
4,15.0,2,Fashion,5,Married,2,1,8,239.16,0,0,0,0
0,35.0,4,Laptop & Accessory,3,Single,2,0,8,145.08,0,0,0,1
2,23.0,4,Fashion,5,Single,2,0,9,179.88,0,0,0,0
4,8.0,5,Mobile Phone,1,Married,5,1,0,127.78,0,0,0,1
19,21.0,3,Others,4,Married,6,0,3,290.81,0,0,0,0
19,13.0,3,Mobile Phone,3,Married,9,0,8,123.39,0,1,0,1
14,7.0,6,Laptop & Accessory,1,Married,4,1,3,199.57,0,0,0,0
15,9.0,4,Grocery,5,Divorced,9,0,9,290.95,0,0,0,0
5,11.0,3,Laptop & Accessory,4,Married,2,0,3,165.24,0,0,0,0
1,14.0,2,Mobile Phone,5,Single,2,0,8,160.78,0,0,0,0
8,13.0,3,Mobile Phone,3,Married,2,0,0,124.04,0,1,0,0
21,11.0,4,Laptop & Accessory,3,Single,5,0,1,154.76,0,0,0,0
1,7.0,5,Mobile Phone,3,Married,8,1,3,153.0,0,0,0,1
24,12.0,4,Mobile Phone,3,Single,1,0,7,128.38,0,0,0,0
14,16.0,3,Laptop & Accessory,1,Single,8,0,10,162.3,0,0,0,0
13,13.0,3,Mobile Phone,1,Married,9,0,0,124.06,0,1,0,0
0,10.0,3,Laptop & Accessory,3,Divorced,2,1,3,141.62,0,0,0,0
21,10.0,4,Grocery,3,Married,11,1,14,262.7,0,0,0,0
29,9.0,5,Mobile Phone,1,Married,10,0,5,151.62,0,0,0,0
7,14.0,3,Laptop & Accessory,5,Married,4,0,0,151.21,0,0,0,0
14,15.0,4,Laptop & Accessory,5,Married,4,1,1,190.16,0,0,0,0
5,9.0,6,Mobile Phone,1,Married,6,1,1,152.78,0,0,0,1
5,14.0,5,Mobile Phone,3,Married,5,0,3,148.29,0,0,0,0
2,15.0,5,Mobile Phone,2,Married,3,0,5,174.36,0,0,0,0
3,7.0,6,Mobile Phone,2,Married,3,0,9,152.2,0,0,0,0
0,12.0,3,Mobile Phone,1,Married,2,1,2,56.0,0,0,0,0
11,20.0,3,Laptop & Accessory,4,Married,1,0,7,199.24,0,0,0,0
6,6.0,1,Grocery,3,Married,5,0,5,261.84,0,0,0,0
2,15.0,5,Mobile Phone,1,Married,3,0,5,174.36,0,0,0,0
1,9.0,4,Mobile Phone,4,Married,6,0,3,146.87,0,0,0,0
14,15.0,3,Fashion,3,Married,4,1,7,181.89,0,0,0,0
3,11.0,4,Mobile Phone,2,Married,10,0,3,137.61,0,0,0,0
26,9.0,5,Mobile Phone,2,Single,9,0,3,157.12,0,0,0,0
1,20.0,5,Laptop & Accessory,5,Married,7,1,3,186.34,0,0,0,1
5,16.0,3,Laptop & Accessory,1,Single,9,0,0,146.48,0,0,0,0
13,14.0,3,Laptop & Accessory,5,Married,3,1,0,165.16,0,0,0,0
4,8.0,3,Laptop & Accessory,2,Single,5,1,5,165.82,0,0,0,0
0,13.0,3,Mobile Phone,2,Divorced,1,0,1,124.0,0,1,0,0
1,32.0,5,Mobile Phone,4,Single,6,1,3,148.13,0,0,0,1
30,11.0,4,Others,5,Married,6,0,3,324.43,0,0,0,0
0,26.0,5,Laptop & Accessory,3,Divorced,4,1,2,145.59,0,0,0,1
0,8.0,4,Mobile Phone,3,Single,7,1,0,120.9,1,0,0,1
17,11.0,5,Fashion,2,Single,5,0,3,227.31,0,0,1,0
26,15.0,4,Mobile Phone,5,Divorced,11,0,5,154.5,0,0,0,0
5,25.0,1,Mobile Phone,3,Married,7,1,2,127.59,0,0,0,1
0,13.0,4,Mobile Phone,3,Divorced,2,0,2,125.39,0,1,0,0
19,6.0,3,Fashion,5,Married,2,0,7,204.53,0,0,0,0
8,13.0,4,Mobile Phone,5,Single,2,0,2,124.5,0,1,0,0
0,12.0,3,Laptop & Accessory,3,Married,3,1,5,123.06,1,0,0,0
0,9.0,3,Mobile Phone,1,Married,2,0,0,117.06,1,0,0,0
1,20.0,5,Mobile Phone,5,Married,6,1,1,148.35,0,0,0,1
9,13.0,3,Mobile Phone,2,Single,3,0,1,146.78,0,0,0,0
1,10.0,4,Mobile Phone,3,Single,3,0,8,165.84,0,0,0,1
8,11.0,4,Laptop & Accessory,3,Divorced,11,0,3,190.38,0,0,0,0
26,7.0,4,Grocery,3,Married,5,1,3,229.65,0,0,1,0
2,16.0,4,Mobile Phone,3,Married,7,0,3,148.77,0,0,0,0
0,22.0,3,Mobile Phone,3,Single,2,0,4,121.44,1,0,0,0
4,14.0,4,Laptop & Accessory,3,Married,3,0,10,159.91,0,0,0,0
16,30.0,4,Grocery,2,Single,4,0,1,284.92,0,0,0,0
1,12.0,4,Mobile Phone,4,Single,3,1,3,149.78,0,0,0,0
9,23.0,4,Fashion,3,Married,6,1,1,201.32,0,0,0,0
2,26.0,3,Mobile Phone,1,Married,2,0,10,138.12,0,0,0,0
10,14.0,3,Laptop & Accessory,4,Married,3,0,7,140.71,0,0,0,0
1,14.0,5,Laptop & Accessory,3,Divorced,4,0,1,186.32,0,0,0,0
23,13.0,3,Mobile Phone,1,Married,5,0,0,123.8,0,1,0,0
21,9.0,2,Grocery,4,Married,8,0,3,284.72,0,0,0,0
26,13.0,4,Fashion,1,Married,8,1,3,209.34,0,0,1,0
11,16.0,3,Laptop & Accessory,3,Married,4,0,2,160.77,0,0,0,0
31,10.0,5,Laptop & Accessory,1,Single,7,0,6,176.71,0,0,0,0
14,12.0,5,Fashion,5,Divorced,7,1,3,229.75,0,0,1,0
4,11.0,3,Laptop & Accessory,5,Single,1,0,7,199.36,0,0,0,0
17,34.0,3,Grocery,5,Divorced,4,0,17,263.28,0,0,0,0
7,10.0,3,Laptop & Accessory,3,Married,10,0,2,165.38,0,0,0,0
20,8.0,3,Others,4,Single,8,1,8,292.46,0,0,0,1
8,29.0,5,Laptop & Accessory,1,Married,3,1,12,182.47,0,0,0,0
1,16.0,6,Mobile Phone,4,Single,3,0,3,152.6,0,0,0,1
17,31.0,4,Fashion,5,Single,8,1,3,229.48,0,0,1,1
27,13.0,4,Laptop & Accessory,3,Divorced,4,1,6,148.06,0,0,0,0
16,7.0,5,Laptop & Accessory,2,Divorced,11,1,3,185.62,0,0,0,0
16,9.0,4,Laptop & Accessory,1,Married,3,0,3,165.89,0,0,0,0
0,13.0,3,Mobile Phone,3,Married,2,0,0,112.74,1,0,0,0
10,33.0,4,Laptop & Accessory,3,Married,8,0,3,178.47,0,0,0,0
10,30.0,2,Laptop & Accessory,1,Married,6,0,4,150.71,0,0,0,0
3,11.0,3,Mobile Phone,5,Married,6,0,30,132.04,0,0,0,0
0,24.0,1,Laptop & Accessory,3,Divorced,3,0,2,162.32,0,0,0,0
12,16.0,3,Laptop & Accessory,5,Married,3,0,7,153.77,0,0,0,0
6,17.0,4,Laptop & Accessory,1,Single,10,0,1,171.48,0,0,0,0
11,18.0,4,Laptop & Accessory,5,Married,3,0,2,162.88,0,0,0,0
6,7.0,5,Mobile Phone,4,Married,2,0,3,147.69,0,0,0,0
4,6.0,3,Laptop & Accessory,5,Married,2,0,3,141.48,0,0,0,0
17,9.0,4,Mobile Phone,1,Single,2,0,9,160.39,0,0,0,0
7,21.0,3,Fashion,2,Divorced,2,0,5,179.78,0,0,0,1
8,15.0,4,Laptop & Accessory,5,Married,7,0,3,190.0,0,0,0,0
15,9.0,5,Laptop & Accessory,3,Single,4,1,8,193.11,0,0,0,0
31,9.0,5,Grocery,2,Single,5,1,4,262.26,0,0,0,0
16,14.0,3,Laptop & Accessory,4,Married,5,0,0,147.65,0,0,0,0
3,12.0,4,Laptop & Accessory,1,Married,5,0,1,145.86,0,0,0,1
11,7.0,5,Mobile Phone,5,Divorced,4,0,3,164.2,0,0,0,0
0,5.0,4,Mobile Phone,3,Single,2,0,2,130.33,0,0,0,0
20,9.0,4,Fashion,1,Married,5,0,3,210.78,0,0,1,0
11,11.0,4,Mobile Phone,3,Divorced,9,1,4,154.96,0,0,0,0
0,22.0,3,Fashion,5,Single,3,1,0,185.64,0,0,0,1
10,13.0,2,Mobile Phone,1,Married,5,0,1,155.38,0,0,0,0
1,22.0,4,Mobile Phone,3,Married,3,0,3,151.1,0,0,0,1
9,24.0,4,Laptop & Accessory,5,Married,5,1,3,214.66,0,0,1,0
1,6.0,4,Laptop & Accessory,1,Married,2,1,7,168.34,0,0,0,0
9,9.0,4,Laptop & Accessory,1,Married,4,0,8,182.62,0,0,0,0
2,10.0,4,Mobile Phone,4,Married,3,0,1,153.56,0,0,0,0
30,15.0,4,Mobile Phone,5,Married,6,1,3,167.57,0,0,0,0
12,23.0,4,Laptop & Accessory,4,Single,4,0,3,166.98,0,0,0,0
8,22.0,3,Fashion,3,Married,5,1,0,176.32,0,0,0,0
22,26.0,3,Laptop & Accessory,5,Married,2,0,11,165.67,0,0,0,0
8,33.0,3,Laptop & Accessory,3,Married,3,0,7,168.83,0,0,0,0
20,32.0,3,Others,3,Married,4,0,0,296.58,0,0,0,0
0,9.0,4,Mobile Phone,3,Divorced,2,0,0,112.81,1,0,0,0
20,20.0,3,Laptop & Accessory,4,Married,9,0,7,154.67,0,0,0,0
0,10.0,3,Mobile Phone,2,Single,2,1,2,128.75,0,0,0,0
28,24.0,4,Fashion,3,Married,10,0,9,232.39,0,0,0,0
22,7.0,2,Grocery,1,Single,4,0,2,293.85,0,0,0,0
16,21.0,4,Grocery,3,Married,2,0,11,276.03,0,0,0,0
7,9.0,5,Laptop & Accessory,1,Single,6,0,2,160.29,0,0,0,0
1,28.0,4,Mobile Phone,3,Married,3,0,1,148.77,0,0,0,1
0,16.0,3,Mobile Phone,3,Divorced,2,1,0,122.2,1,0,0,0
0,14.0,4,Laptop & Accessory,4,Married,2,1,7,121.33,1,0,0,0
4,8.0,4,Laptop & Accessory,5,Divorced,4,0,0,164.1,0,0,0,0
25,13.0,5,Mobile Phone,3,Single,2,0,8,153.38,0,0,0,0
14,33.0,4,Laptop & Accessory,5,Married,3,0,6,208.96,0,0,0,0
4,9.0,4,Mobile Phone,4,Divorced,3,0,1,149.76,0,0,0,0
18,15.0,4,Laptop & Accessory,3,Divorced,2,0,12,155.93,0,0,0,0
10,10.0,5,Fashion,1,Married,6,0,3,221.99,0,0,1,0
18,27.0,4,Mobile Phone,4,Single,3,0,4,159.2,0,0,0,0
11,17.0,4,Laptop & Accessory,4,Single,4,1,2,166.97,0,0,0,0
8,18.0,5,Laptop & Accessory,4,Married,6,0,9,169.9,0,0,0,0
22,13.0,3,Mobile Phone,5,Married,5,1,2,125.87,0,1,0,0
4,27.0,4,Laptop & Accessory,5,Married,2,0,3,224.57,0,0,1,0
0,11.0,4,Fashion,2,Married,2,1,3,228.08,0,0,1,0
18,35.0,4,Grocery,5,Married,5,0,18,288.28,0,0,0,0
13,11.0,4,Laptop & Accessory,3,Single,2,0,9,175.42,0,0,0,0
31,22.0,4,Grocery,3,Married,4,1,3,282.87,0,0,0,0
0,17.0,1,Laptop & Accessory,3,Married,9,0,2,147.07,0,0,0,1
1,25.0,2,Mobile Phone,5,Married,2,0,1,154.56,0,0,0,1
1,14.0,4,Mobile Phone,4,Single,3,1,1,149.72,0,0,0,1
20,22.0,4,Others,4,Divorced,7,0,4,315.81,0,0,0,0
4,11.0,3,Mobile Phone,1,Married,1,1,3,148.21,0,0,0,0
1,7.0,3,Mobile Phone,5,Married,2,0,2,135.91,0,0,0,0
8,22.0,4,Laptop & Accessory,4,Married,1,1,2,147.88,0,0,0,0
13,15.0,3,Laptop & Accessory,3,Married,4,0,7,139.75,0,0,0,0
1,16.0,4,Mobile Phone,4,Single,3,0,4,147.79,0,0,0,0
25,17.0,3,Laptop & Accessory,3,Divorced,9,0,4,131.49,0,0,0,0
19,11.0,6,Fashion,3,Married,6,0,3,222.56,0,0,1,0
24,17.0,5,Fashion,1,Single,8,0,3,229.96,0,0,1,0
0,22.0,5,Mobile Phone,5,Single,2,1,7,139.19,0,0,0,1
15,35.0,5,Grocery,4,Married,2,0,11,260.7,0,0,0,0
7,16.0,3,Laptop & Accessory,3,Married,2,1,7,140.01,0,0,0,0
11,6.0,4,Mobile Phone,5,Single,5,0,0,128.58,0,0,0,0
24,7.0,4,Laptop & Accessory,3,Married,2,0,14,188.47,0,0,0,0
29,21.0,2,Others,4,Single,10,0,16,312.22,0,0,0,0
15,12.0,3,Fashion,5,Married,10,0,7,233.48,0,0,0,0
15,11.0,4,Fashion,3,Married,2,1,3,229.47,0,0,1,0
4,14.0,3,Laptop & Accessory,1,Single,2,0,8,144.24,0,0,0,0
0,12.0,4,Mobile Phone,3,Married,1,0,3,121.87,1,0,0,0
0,8.0,4,Mobile Phone,1,Single,8,0,0,127.85,0,0,0,1
7,6.0,1,Mobile Phone,1,Single,3,0,3,132.8,0,0,0,0
2,11.0,4,Laptop & Accessory,3,Married,3,0,5,167.21,0,0,0,0
9,34.0,5,Mobile Phone,5,Single,3,0,2,150.59,0,0,0,0
4,8.0,3,Mobile Phone,3,Married,1,0,2,130.67,0,0,0,0
10,18.0,5,Laptop & Accessory,1,Married,6,0,1,191.52,0,0,0,0
0,26.0,3,Mobile Phone,3,Divorced,5,0,0,122.59,1,0,0,0
7,32.0,4,Laptop & Accessory,3,Divorced,3,0,2,170.39,0,0,0,0
1,7.0,6,Mobile Phone,4,Single,9,1,8,147.16,0,0,0,1
0,9.0,4,Fashion,1,Married,2,1,7,203.25,0,0,0,1
19,11.0,4,Laptop & Accessory,4,Divorced,3,0,9,169.47,0,0,0,0
16,32.0,3,Grocery,1,Married,2,1,12,269.59,0,0,0,0
4,9.0,5,Mobile Phone,5,Single,2,0,8,174.68,0,0,0,0
16,36.0,4,Laptop & Accessory,3,Married,4,0,3,170.56,0,0,0,0
0,12.0,3,Mobile Phone,5,Single,3,0,3,129.6,0,0,0,1
31,35.0,5,Fashion,5,Married,6,0,3,227.66,0,0,1,0
30,13.0,1,Laptop & Accessory,1,Married,1,1,9,152.2,0,0,0,0
15,7.0,4,Laptop & Accessory,5,Married,2,0,8,166.03,0,0,0,0
6,9.0,4,Laptop & Accessory,3,Single,6,1,8,174.98,0,0,0,0
6,15.0,4,Fashion,2,Single,3,0,3,214.98,0,0,1,0
30,13.0,3,Others,5,Divorced,6,0,10,295.66,0,0,0,0
6,13.0,3,Fashion,3,Divorced,1,0,3,216.91,0,0,1,0
5,14.0,5,Mobile Phone,3,Divorced,5,0,3,148.29,0,0,0,0
1,27.0,3,Mobile Phone,2,Divorced,2,0,2,127.13,0,0,0,0
7,9.0,4,Laptop & Accessory,1,Married,3,0,5,180.05,0,0,0,0
0,28.0,3,Mobile Phone,3,Married,5,1,1,121.32,1,0,0,1
1,13.0,4,Mobile Phone,1,Married,3,1,3,81.0,0,0,0,0
2,23.0,3,Laptop & Accessory,5,Single,2,0,8,181.61,0,0,0,0
16,19.0,4,Mobile Phone,4,Married,10,0,5,152.66,0,0,0,0
19,9.0,1,Grocery,5,Married,3,0,8,232.25,0,0,0,0
16,14.0,2,Laptop & Accessory,4,Married,8,1,1,148.72,0,0,0,0
11,9.0,3,Laptop & Accessory,2,Single,9,1,0,168.61,0,0,0,0
10,21.0,4,Laptop & Accessory,1,Married,2,1,12,190.86,0,0,0,0
15,14.0,6,Others,3,Married,3,0,11,324.73,0,0,0,0
14,14.0,4,Others,4,Single,3,0,9,323.33,0,0,0,0
1,31.0,2,Mobile Phone,5,Single,3,0,1,135.91,0,0,0,1
23,8.0,3,Grocery,3,Married,6,0,3,276.39,0,0,0,0
13,32.0,3,Laptop & Accessory,4,Married,2,0,13,156.05,0,0,0,0
0,6.0,3,Mobile Phone,4,Single,2,1,4,132.02,0,0,0,1
19,13.0,3,Laptop & Accessory,3,Married,3,0,0,152.58,0,0,0,0
8,13.0,4,Mobile Phone,1,Married,2,0,2,123.76,0,1,0,0
25,14.0,3,Mobile Phone,5,Married,10,0,4,129.5,0,0,0,0
10,17.0,4,Fashion,2,Single,3,0,3,224.8,0,0,1,0
1,7.0,6,Laptop & Accessory,4,Single,8,0,1,192.35,0,0,0,1
19,14.0,3,Laptop & Accessory,3,Divorced,6,0,3,189.34,0,0,0,0
6,31.0,3,Laptop & Accessory,3,Married,2,0,1,145.39,0,0,0,0
1,32.0,4,Laptop & Accessory,5,Married,2,0,4,147.24,0,0,0,0
16,12.0,4,Mobile Phone,3,Married,6,0,1,145.93,0,0,0,0
9,13.0,4,Mobile Phone,3,Divorced,2,1,3,160.06,0,0,0,0
1,26.0,3,Laptop & Accessory,2,Single,10,1,5,178.04,0,0,0,1
7,9.0,4,Mobile Phone,2,Single,2,0,3,150.0,0,0,0,0
1,25.0,2,Laptop & Accessory,3,Divorced,4,0,3,187.32,0,0,0,0
8,17.0,4,Mobile Phone,3,Divorced,3,1,1,147.2,0,0,0,0
0,21.0,3,Mobile Phone,1,Single,2,0,0,112.32,1,0,0,0
17,9.0,5,Fashion,1,Married,2,0,3,226.69,0,0,1,1
0,15.0,4,Mobile Phone,3,Single,2,0,8,122.06,1,0,0,0
7,12.0,5,Mobile Phone,1,Married,3,0,3,154.11,0,0,0,0
16,16.0,4,Mobile Phone,1,Single,3,0,9,161.73,0,0,0,0
3,16.0,4,Laptop & Accessory,3,Married,2,0,4,165.78,0,0,0,0
11,8.0,3,Mobile Phone,1,Single,6,1,2,139.44,0,0,0,0
11,13.0,3,Mobile Phone,5,Single,4,0,0,126.19,0,1,0,0
13,11.0,4,Fashion,5,Divorced,6,1,12,204.75,0,0,0,0
17,22.0,5,Grocery,3,Married,3,0,12,301.03,0,0,0,0
11,12.0,5,Laptop & Accessory,1,Married,8,1,9,153.29,0,0,0,0
7,15.0,4,Laptop & Accessory,3,Single,4,1,1,188.88,0,0,0,0
6,12.0,5,Laptop & Accessory,4,Married,5,0,6,183.78,0,0,0,0
11,10.0,3,Mobile Phone,3,Married,8,0,0,133.06,0,0,0,0
15,32.0,3,Fashion,5,Married,4,1,0,231.91,0,0,0,0
13,35.0,5,Laptop & Accessory,5,Single,5,0,4,167.84,0,0,0,1
6,12.0,4,Mobile Phone,4,Single,4,0,8,152.18,0,0,0,0
7,8.0,3,Laptop & Accessory,1,Single,2,0,4,162.74,0,0,0,0
0,13.0,5,Laptop & Accessory,3,Single,2,1,6,160.74,0,0,0,1
16,9.0,5,Laptop & Accessory,2,Single,5,0,1,192.81,0,0,0,0
5,17.0,4,Laptop & Accessory,1,Married,4,1,5,190.83,0,0,0,0
19,8.0,3,Fashion,1,Married,5,1,3,203.68,0,0,0,0
0,13.0,4,Laptop & Accessory,5,Single,9,0,7,168.11,0,0,0,0
20,31.0,4,Mobile Phone,1,Single,3,0,1,150.87,0,0,0,1
8,7.0,4,Laptop & Accessory,4,Married,3,0,4,168.25,0,0,0,0
12,8.0,4,Laptop & Accessory,1,Married,9,0,4,152.04,0,0,0,0
1,8.0,4,Mobile Phone,3,Married,3,0,2,137.23,0,0,0,0
4,13.0,3,Fashion,5,Married,3,0,2,196.37,0,0,0,0
9,7.0,5,Mobile Phone,5,Single,3,0,3,149.5,0,0,0,0
12,16.0,5,Mobile Phone,4,Divorced,2,0,3,153.99,0,0,0,0
25,7.0,4,Mobile Phone,2,Divorced,3,0,1,152.23,0,0,0,0
6,14.0,4,Laptop & Accessory,1,Married,6,0,3,217.04,0,0,1,0
21,9.0,4,Grocery,1,Married,3,1,1,292.52,0,0,0,0
7,8.0,1,Mobile Phone,1,Married,1,1,2,129.32,0,0,0,0
0,31.0,5,Mobile Phone,3,Single,2,0,1,122.93,1,0,0,1
7,12.0,3,Laptop & Accessory,3,Single,2,0,10,148.09,0,0,0,0
3,16.0,3,Fashion,3,Single,10,0,2,196.67,0,0,0,0
0,9.0,3,Mobile Phone,5,Single,1,0,4,131.02,0,0,0,1
1,13.0,2,Mobile Phone,5,Married,3,1,1,141.01,0,0,0,1
13,8.0,3,Laptop & Accessory,4,Married,4,0,10,156.77,0,0,0,0
0,8.0,3,Mobile Phone,4,Married,10,0,2,134.68,0,0,0,0
0,30.0,3,Mobile Phone,4,Single,2,0,4,121.77,1,0,0,0
