tenure,warehouse_to_home,num_devices_registered,preferred_order_category,satisfaction_score,marital_status,num_addresses,has_complained,days_since_last_order,cashback_amount,churn,days_missing_flag,tenure_missing_flag,tenure_segment
30,11.0,4,Others,5,Married,6,0,3,324.43,0,0,0,2+ years
0,26.0,5,Laptop & Accessory,3,Divorced,4,1,2,145.59,1,0,0,Brand New (0mo)
0,8.0,4,Mobile,3,Single,7,1,0,120.9,1,0,1,Brand New (0mo)
17,11.0,5,Fashion,2,Single,5,0,47,227.31,0,1,0,1-2 years
26,15.0,4,Mobile Phone,5,Divorced,11,0,5,154.5,0,0,0,2+ years
5,25.0,1,Mobile,3,Married,7,1,2,127.59,1,0,0,4-6 months
0,14.0,4,Mobile,3,Divorced,2,0,2,125.39,0,0,0,Brand New (0mo)
19,6.0,3,Fashion,5,Married,2,0,7,204.53,0,0,0,1-2 years
8,14.0,4,Mobile,5,Single,2,0,2,124.5,0,0,0,7-12 months
0,12.0,3,Laptop & Accessory,3,Married,3,1,5,123.06,0,0,1,Brand New (0mo)
0,9.0,3,Mobile Phone,1,Married,2,0,0,117.06,0,0,1,Brand New (0mo)
1,20.0,5,Mobile Phone,5,Married,6,1,1,148.35,1,0,0,1-3 months
9,13.0,3,Mobile Phone,2,Single,3,0,1,146.78,0,0,0,7-12 months
1,10.0,4,Mobile Phone,3,Single,3,0,8,165.84,1,0,0,1-3 months
8,11.0,4,Laptop & Accessory,3,Divorced,11,0,3,190.38,0,0,0,7-12 months
26,7.0,4,Grocery,3,Married,5,1,47,229.65,0,1,0,2+ years
2,16.0,4,Mobile Phone,3,Married,7,0,3,148.77,0,0,0,1-3 months
0,22.0,3,Mobile,3,Single,2,0,4,121.44,0,0,1,Brand New (0mo)
4,14.0,4,Laptop & Accessory,3,Married,3,0,10,159.91,0,0,0,4-6 months
16,30.0,4,Grocery,2,Single,4,0,1,284.92,0,0,0,1-2 years
1,12.0,4,Mobile Phone,4,Single,3,1,3,149.78,0,0,0,1-3 months
9,23.0,4,Fashion,3,Married,6,1,1,201.32,0,0,0,7-12 months
2,26.0,3,Mobile Phone,1,Married,2,0,10,138.12,0,0,0,1-3 months
10,14.0,3,Laptop & Accessory,4,Married,3,0,7,140.71,0,0,0,7-12 months
1,14.0,5,Laptop & Accessory,3,Divorced,4,0,1,186.32,0,0,0,1-3 months
23,14.0,3,Mobile,1,Married,5,0,0,123.8,0,0,0,1-2 years
21,9.0,2,Grocery,4,Married,8,0,3,284.72,0,0,0,1-2 years
26,13.0,4,Fashion,1,Married,8,1,47,209.34,0,1,0,2+ years
11,16.0,3,Laptop & Accessory,3,Married,4,0,2,160.77,0,0,0,7-12 months
31,10.0,5,Laptop & Accessory,1,Single,7,0,6,176.71,0,0,0,2+ years
14,12.0,5,Fashion,5,Divorced,7,1,47,229.75,0,1,0,1-2 years
4,11.0,3,Laptop & Accessory,5,Single,1,0,7,199.36,0,0,0,4-6 months
17,34.0,3,Grocery,5,Divorced,4,0,17,263.28,0,0,0,1-2 years
7,10.0,3,Laptop & Accessory,3,Married,10,0,2,165.38,0,0,0,7-12 months
20,8.0,3,Others,4,Single,8,1,8,292.46,1,0,0,1-2 years
8,29.0,5,Laptop & Accessory,1,Married,3,1,12,182.47,0,0,0,7-12 months
1,16.0,6,Mobile Phone,4,Single,3,0,3,152.6,1,0,0,1-3 months
17,31.0,4,Fashion,5,Single,8,1,47,229.48,1,1,0,1-2 years
27,13.0,4,Laptop & Accessory,3,Divorced,4,1,6,148.06,0,0,0,2+ years
16,7.0,5,Laptop & Accessory,2,Divorced,11,1,3,185.62,0,0,0,1-2 years
16,9.0,4,Laptop & Accessory,1,Married,3,0,3,165.89,0,0,0,1-2 years
0,13.0,3,Mobile Phone,3,Married,2,0,0,112.74,0,0,1,Brand New (0mo)
10,33.0,4,Laptop & Accessory,3,Married,8,0,3,178.47,0,0,0,7-12 months
10,30.0,2,Laptop & Accessory,1,Married,6,0,4,150.71,0,0,0,7-12 months
3,11.0,3,Mobile,5,Married,6,0,30,132.04,0,0,0,1-3 months
0,24.0,1,Laptop & Accessory,3,Divorced,3,0,2,162.32,0,0,0,Brand New (0mo)
12,16.0,3,Laptop & Accessory,5,Married,3,0,7,153.77,0,0,0,7-12 months
6,17.0,4,Laptop & Accessory,1,Single,10,0,1,171.48,0,0,0,4-6 months
11,18.0,4,Laptop & Accessory,5,Married,3,0,2,162.88,0,0,0,7-12 months
6,7.0,5,Mobile Phone,4,Married,2,0,3,147.69,0,0,0,4-6 months
4,6.0,3,Laptop & Accessory,5,Married,2,0,3,141.48,0,0,0,4-6 months
17,9.0,4,Mobile Phone,1,Single,2,0,9,160.39,0,0,0,1-2 years
7,21.0,3,Fashion,2,Divorced,2,0,5,179.78,1,0,0,7-12 months
8,15.0,4,Laptop & Accessory,5,Married,7,0,3,190.0,0,0,0,7-12 months
15,9.0,5,Laptop & Accessory,3,Single,4,1,8,193.11,0,0,0,1-2 years
31,9.0,5,Grocery,2,Single,5,1,4,262.26,0,0,0,2+ years
16,14.0,3,Laptop & Accessory,4,Married,5,0,0,147.65,0,0,0,1-2 years
3,12.0,4,Laptop & Accessory,1,Married,5,0,1,145.86,1,0,0,1-3 months
11,7.0,5,Mobile Phone,5,Divorced,4,0,3,164.2,0,0,0,7-12 months
0,5.0,4,Mobile,3,Single,2,0,2,130.33,0,0,0,Brand New (0mo)
20,9.0,4,Fashion,1,Married,5,0,47,210.78,0,1,0,1-2 years
11,11.0,4,Mobile Phone,3,Divorced,9,1,4,154.96,0,0,0,7-12 months
0,22.0,3,Fashion,5,Single,3,1,0,185.64,1,0,0,Brand New (0mo)
10,13.0,2,Mobile Phone,1,Married,5,0,1,155.38,0,0,0,7-12 months
1,22.0,4,Mobile Phone,3,Married,3,0,3,151.1,1,0,0,1-3 months
9,24.0,4,Laptop & Accessory,5,Married,5,1,47,214.66,0,1,0,7-12 months
1,6.0,4,Laptop & Accessory,1,Married,2,1,7,168.34,0,0,0,1-3 months
9,9.0,4,Laptop & Accessory,1,Married,4,0,8,182.62,0,0,0,7-12 months
2,10.0,4,Mobile Phone,4,Married,3,0,1,153.56,0,0,0,1-3 months
30,15.0,4,Mobile Phone,5,Married,6,1,3,167.57,0,0,0,2+ years
12,23.0,4,Laptop & Accessory,4,Single,4,0,3,166.98,0,0,0,7-12 months
8,22.0,3,Fashion,3,Married,5,1,0,176.32,0,0,0,7-12 months
22,26.0,3,Laptop & Accessory,5,Married,2,0,11,165.67,0,0,0,1-2 years
8,33.0,3,Laptop & Accessory,3,Married,3,0,7,168.83,0,0,0,7-12 months
20,32.0,3,Others,3,Married,4,0,0,296.58,0,0,0,1-2 years
0,9.0,4,Mobile Phone,3,Divorced,2,0,0,112.81,0,0,1,Brand New (0mo)
20,20.0,3,Laptop & Accessory,4,Married,9,0,7,154.67,0,0,0,1-2 years
0,10.0,3,Mobile,2,Single,2,1,2,128.75,0,0,0,Brand New (0mo)
28,24.0,4,Fashion,3,Married,10,0,9,232.39,0,0,0,2+ years
22,7.0,2,Grocery,1,Single,4,0,2,293.85,0,0,0,1-2 years
16,21.0,4,Grocery,3,Married,2,0,11,276.03,0,0,0,1-2 years
7,9.0,5,Laptop & Accessory,1,Single,6,0,2,160.29,0,0,0,7-12 months
1,28.0,4,Mobile Phone,3,Married,3,0,1,148.77,1,0,0,1-3 months
0,16.0,3,Mobile,3,Divorced,2,1,0,122.2,0,0,1,Brand New (0mo)
0,14.0,4,Laptop & Accessory,4,Married,2,1,7,121.33,0,0,1,Brand New (0mo)
4,8.0,4,Laptop & Accessory,5,Divorced,4,0,0,164.1,0,0,0,4-6 months
25,13.0,5,Mobile Phone,3,Single,2,0,8,153.38,0,0,0,2+ years
14,33.0,4,Laptop & Accessory,5,Married,3,0,6,208.96,0,0,0,1-2 years
4,9.0,4,Mobile Phone,4,Divorced,3,0,1,149.76,0,0,0,4-6 months
18,15.0,4,Laptop & Accessory,3,Divorced,2,0,12,155.93,0,0,0,1-2 years
10,10.0,5,Fashion,1,Married,6,0,47,221.99,0,1,0,7-12 months
18,27.0,4,Mobile Phone,4,Single,3,0,4,159.2,0,0,0,1-2 years
11,17.0,4,Laptop & Accessory,4,Single,4,1,2,166.97,0,0,0,7-12 months
8,18.0,5,Laptop & Accessory,4,Married,6,0,9,169.9,0,0,0,7-12 months
22,14.0,3,Mobile,5,Married,5,1,2,125.87,0,0,0,1-2 years
4,27.0,4,Laptop & Accessory,5,Married,2,0,47,224.57,0,1,0,4-6 months
0,11.0,4,Fashion,2,Married,2,1,47,228.08,0,1,0,Brand New (0mo)
18,35.0,4,Grocery,5,Married,5,0,18,288.28,0,0,0,1-2 years
13,11.0,4,Laptop & Accessory,3,Single,2,0,9,175.42,0,0,0,1-2 years
31,22.0,4,Grocery,3,Married,4,1,3,282.87,0,0,0,2+ years
0,17.0,1,Laptop & Accessory,3,Married,9,0,2,147.07,1,0,0,Brand New (0mo)
1,25.0,2,Mobile Phone,5,Married,2,0,1,154.56,1,0,0,1-3 months
1,14.0,4,Mobile Phone,4,Single,3,1,1,149.72,1,0,0,1-3 months
20,22.0,4,Others,4,Divorced,7,0,4,315.81,0,0,0,1-2 years
4,11.0,3,Mobile Phone,1,Married,1,1,3,148.21,0,0,0,4-6 months
1,7.0,3,Mobile Phone,5,Married,2,0,2,135.91,0,0,0,1-3 months
8,22.0,4,Laptop & Accessory,4,Married,1,1,2,147.88,0,0,0,7-12 months
13,15.0,3,Laptop & Accessory,3,Married,4,0,7,139.75,0,0,0,1-2 years
1,16.0,4,Mobile Phone,4,Single,3,0,4,147.79,0,0,0,1-3 months
25,17.0,3,Laptop & Accessory,3,Divorced,9,0,4,131.49,0,0,0,2+ years
19,11.0,6,Fashion,3,Married,6,0,47,222.56,0,1,0,1-2 years
24,17.0,5,Fashion,1,Single,8,0,47,229.96,0,1,0,1-2 years
0,22.0,5,Mobile Phone,5,Single,2,1,7,139.19,1,0,0,Brand New (0mo)
15,35.0,5,Grocery,4,Married,2,0,11,260.7,0,0,0,1-2 years
7,16.0,3,Laptop & Accessory,3,Married,2,1,7,140.01,0,0,0,7-12 months
11,6.0,4,Mobile,5,Single,5,0,0,128.58,0,0,0,7-12 months
24,7.0,4,Laptop & Accessory,3,Married,2,0,14,188.47,0,0,0,1-2 years
29,21.0,2,Others,4,Single,10,0,16,312.22,0,0,0,2+ years
15,12.0,3,Fashion,5,Married,10,0,7,233.48,0,0,0,1-2 years
15,11.0,4,Fashion,3,Married,2,1,47,229.47,0,1,0,1-2 years
4,14.0,3,Laptop & Accessory,1,Single,2,0,8,144.24,0,0,0,4-6 months
0,12.0,4,Mobile,3,Married,1,0,3,121.87,0,0,1,Brand New (0mo)
0,8.0,4,Mobile,1,Single,8,0,0,127.85,1,0,0,Brand New (0mo)
7,6.0,1,Mobile,1,Single,3,0,3,132.8,0,0,0,7-12 months
2,11.0,4,Laptop & Accessory,3,Married,3,0,5,167.21,0,0,0,1-3 months
9,34.0,5,Mobile Phone,5,Single,3,0,2,150.59,0,0,0,7-12 months
4,8.0,3,Mobile,3,Married,1,0,2,130.67,0,0,0,4-6 months
10,18.0,5,Laptop & Accessory,1,Married,6,0,1,191.52,0,0,0,7-12 months
0,26.0,3,Mobile,3,Divorced,5,0,0,122.59,0,0,1,Brand New (0mo)
7,32.0,4,Laptop & Accessory,3,Divorced,3,0,2,170.39,0,0,0,7-12 months
1,7.0,6,Mobile Phone,4,Single,9,1,8,147.16,1,0,0,1-3 months
0,9.0,4,Fashion,1,Married,2,1,7,203.25,1,0,0,Brand New (0mo)
19,11.0,4,Laptop & Accessory,4,Divorced,3,0,9,169.47,0,0,0,1-2 years
16,32.0,3,Grocery,1,Married,2,1,12,269.59,0,0,0,1-2 years
4,9.0,5,Mobile Phone,5,Single,2,0,8,174.68,0,0,0,4-6 months
16,36.0,4,Laptop & Accessory,3,Married,4,0,3,170.56,0,0,0,1-2 years
0,12.0,3,Mobile,5,Single,3,0,3,129.6,1,0,0,Brand New (0mo)
31,35.0,5,Fashion,5,Married,6,0,47,227.66,0,1,0,2+ years
30,13.0,1,Laptop & Accessory,1,Married,1,1,9,152.2,0,0,0,2+ years
15,7.0,4,Laptop & Accessory,5,Married,2,0,8,166.03,0,0,0,1-2 years
6,9.0,4,Laptop & Accessory,3,Single,6,1,8,174.98,0,0,0,4-6 months
6,15.0,4,Fashion,2,Single,3,0,47,214.98,0,1,0,4-6 months
30,13.0,3,Others,5,Divorced,6,0,10,295.66,0,0,0,2+ years
6,13.0,3,Fashion,3,Divorced,1,0,47,216.91,0,1,0,4-6 months
5,14.0,5,Mobile Phone,3,Divorced,5,0,3,148.29,0,0,0,4-6 months
1,27.0,3,Mobile,2,Divorced,2,0,2,127.13,0,0,0,1-3 months
7,9.0,4,Laptop & Accessory,1,Married,3,0,5,180.05,0,0,0,7-12 months
0,28.0,3,Mobile,3,Married,5,1,1,121.32,1,0,1,Brand New (0mo)
1,13.0,4,Mobile Phone,1,Married,3,1,3,81.0,0,0,0,1-3 months
2,23.0,3,Laptop & Accessory,5,Single,2,0,8,181.61,0,0,0,1-3 months
16,19.0,4,Mobile Phone,4,Married,10,0,5,152.66,0,0,0,1-2 years
19,9.0,1,Grocery,5,Married,3,0,8,232.25,0,0,0,1-2 years
16,14.0,2,Laptop & Accessory,4,Married,8,1,1,148.72,0,0,0,1-2 years
11,9.0,3,Laptop & Accessory,2,Single,9,1,0,168.61,0,0,0,7-12 months
10,21.0,4,Laptop & Accessory,1,Married,2,1,12,190.86,0,0,0,7-12 months
15,14.0,6,Others,3,Married,3,0,11,324.73,0,0,0,1-2 years
14,14.0,4,Others,4,Single,3,0,9,323.33,0,0,0,1-2 years
1,31.0,2,Mobile Phone,5,Single,3,0,1,135.91,1,0,0,1-3 months
23,8.0,3,Grocery,3,Married,6,0,3,276.39,0,0,0,1-2 years
13,32.0,3,Laptop & Accessory,4,Married,2,0,13,156.05,0,0,0,1-2 years
0,6.0,3,Mobile,4,Single,2,1,4,132.02,1,0,0,Brand New (0mo)
19,13.0,3,Laptop & Accessory,3,Married,3,0,0,152.58,0,0,0,1-2 years
8,14.0,4,Mobile,1,Married,2,0,2,123.76,0,0,0,7-12 months
25,14.0,3,Mobile,5,Married,10,0,4,129.5,0,0,0,2+ years
10,17.0,4,Fashion,2,Single,3,0,47,224.8,0,1,0,7-12 months
1,7.0,6,Laptop & Accessory,4,Single,8,0,1,192.35,1,0,0,1-3 months
19,14.0,3,Laptop & Accessory,3,Divorced,6,0,3,189.34,0,0,0,1-2 years
6,31.0,3,Laptop & Accessory,3,Married,2,0,1,145.39,0,0,0,4-6 months
1,32.0,4,Laptop & Accessory,5,Married,2,0,4,147.24,0,0,0,1-3 months
16,12.0,4,Mobile Phone,3,Married,6,0,1,145.93,0,0,0,1-2 years
9,13.0,4,Mobile Phone,3,Divorced,2,1,3,160.06,0,0,0,7-12 months
1,26.0,3,Laptop & Accessory,2,Single,10,1,5,178.04,1,0,0,1-3 months
7,9.0,4,Mobile Phone,2,Single,2,0,3,150.0,0,0,0,7-12 months
1,25.0,2,Laptop & Accessory,3,Divorced,4,0,3,187.32,0,0,0,1-3 months
8,17.0,4,Mobile Phone,3,Divorced,3,1,1,147.2,0,0,0,7-12 months
0,21.0,3,Mobile Phone,1,Single,2,0,0,112.32,0,0,1,Brand New (0mo)
17,9.0,5,Fashion,1,Married,2,0,47,226.69,1,1,0,1-2 years
0,15.0,4,Mobile,3,Single,2,0,8,122.06,0,0,1,Brand New (0mo)
7,12.0,5,Mobile Phone,1,Married,3,0,3,154.11,0,0,0,7-12 months
16,16.0,4,Mobile Phone,1,Single,3,0,9,161.73,0,0,0,1-2 years
3,16.0,4,Laptop & Accessory,3,Married,2,0,4,165.78,0,0,0,1-3 months
11,8.0,3,Mobile Phone,1,Single,6,1,2,139.44,0,0,0,7-12 months
11,14.0,3,Mobile,5,Single,4,0,0,126.19,0,0,0,7-12 months
13,11.0,4,Fashion,5,Divorced,6,1,12,204.75,0,0,0,1-2 years
